,speaker,statement,kaigi_id,teirei_id,giin_id,city_name,jiscode,num_votes,name,name_senkyo,kana,age,gender,title,new_and_old,party,kaiha,gicho,gicho_sub,kansa,shicho_or_giin
17,行岡荘太郎,日程第5、議第56号議案を議題といたします。事務局長より、議件を報告いたします。事務局長。,2011080925206,225206201108,,草津市,25206.0,1893.0,行岡荘太郎,行岡 荘太郎,ユキオカ ソウタロウ,48.0,男,,現職,無所属,,1.0,,,0.0
18,大崎恭義,議第56号契約の締結につき議決を求めることについて以上。,2011080925206,225206201108,,,,,,,,,,,,,,,,,
19,行岡荘太郎,提案者の説明を求めます。橋川市長。,2011080925206,225206201108,,草津市,25206.0,1893.0,行岡荘太郎,行岡 荘太郎,ユキオカ ソウタロウ,48.0,男,,現職,無所属,,1.0,,,0.0
20,橋川渉,登壇先ほど提案申し上げました議第55号につきまして、御承認を賜りまして、まことにありがとうございました。それでは、ただいま上程をいただきました議第56号につきまして、提案理由の説明を申し上げます。これは一般議案でございまして、笠縫幼稚園園舎改築工事（建築）の請負契約を締結するに当たりまして議決を求めるものでございます。以上、まことに簡単でございますが、提案理由の説明を終わらせていただきます。何とぞ、よろしく御審議をいただき、適正なる議決を賜りますよう、お願い申し上げます。,2011080925206,225206201108,,草津市,25206.0,17584.0,橋川渉,橋川渉,ハシカワ ワタル,59.0,男,,新人,無所属,,,,,1.0
21,行岡荘太郎,それでは、これより議第56号議案に対する質疑を行います。ただいまのところ通告はございません。質疑はございませんか。〔「なし」と呼ぶ者あり〕,2011080925206,225206201108,,草津市,25206.0,1893.0,行岡荘太郎,行岡 荘太郎,ユキオカ ソウタロウ,48.0,男,,現職,無所属,,1.0,,,0.0
22,行岡荘太郎,質疑なしと認めます。よって、質疑を終結いたします。ただいま議題となっております議第56号議案は、お手元に配付いたしておきました議案付託表のとおり、総務常任委員会に付託いたします。ただいまから暫時休憩をいたしますので、休憩中に総務常任委員会をお開き願い、付託案件の御審査をお願い申し上げます。それでは、これより暫時休憩いたします。休憩午前10時08分─────────────再開午前10時50分,2011080925206,225206201108,,草津市,25206.0,1893.0,行岡荘太郎,行岡 荘太郎,ユキオカ ソウタロウ,48.0,男,,現職,無所属,,1.0,,,0.0
23,行岡荘太郎,それでは、再開いたします。総務常任委員長より、委員会審査報告書が提出されておりますので、議第56号議案について総務常任委員長の報告を求めます。総務常任委員長、大脇正美議員。,2011080925206,225206201108,,草津市,25206.0,1893.0,行岡荘太郎,行岡 荘太郎,ユキオカ ソウタロウ,48.0,男,,現職,無所属,,1.0,,,0.0
24,大脇正美,登壇おはようございます。本臨時会におきまして、総務常任委員会に付託を受けました案件1件について、午前10時10分から委員会を開会し、慎重に審査を行いました結果の御報告を申し上げます。議第56号、契約の締結につき議決を求めることについてにつきましては、全員賛成で原案のとおり可決すべきものと決しました。以上をもちまして、本臨時会におきまして総務常任委員会に付託を受けました案件1件の審査の結果について、報告を終わります。何とぞ議員各位の御賛同を賜りますよう、よろしくお願いいたします。,2011080925206,225206201108,,草津市,25206.0,3068.0,大脇正美,大脇正美,オオワキ マサミ,59.0,男,,現職,民主党,,,,,0.0
25,行岡荘太郎,以上で、総務常任委員長の報告は終わりました。これより、総務常任委員長の報告に対する質疑を行います。ただいまのところ通告はございません。質疑はございませんか。〔「なし」と呼ぶ者あり〕,2011080925206,225206201108,,草津市,25206.0,1893.0,行岡荘太郎,行岡 荘太郎,ユキオカ ソウタロウ,48.0,男,,現職,無所属,,1.0,,,0.0
26,行岡荘太郎,質疑なしと認めます。よって、質疑を終結いたします。次に、討論を行います。ただいまのところ通告はございません。討論はございませんか。〔「なし」と呼ぶ者あり〕,2011080925206,225206201108,,草津市,25206.0,1893.0,行岡荘太郎,行岡 荘太郎,ユキオカ ソウタロウ,48.0,男,,現職,無所属,,1.0,,,0.0
27,行岡荘太郎,討論なしと認めます。よって、討論を終結いたします。それでは、ただいま議題となっております議第56号議案を起立により採決いたします。お諮りいたします。議第56号、契約の締結につき議決を求めることについて、総務常任委員長の報告のとおり決することに賛成の議員の起立を求めます。〔起立全員〕,2011080925206,225206201108,,草津市,25206.0,1893.0,行岡荘太郎,行岡 荘太郎,ユキオカ ソウタロウ,48.0,男,,現職,無所属,,1.0,,,0.0
28,行岡荘太郎,御着席願います。起立全員であります。よって、議第56号議案については、総務常任委員長の報告のとおり決しました。以上で、本日の臨時会に付議されました議案は、すべて議了されたものと認めます。この際、市長より発言の申し出がありますので、これを許します。橋川市長。,2011080925206,225206201108,,草津市,25206.0,1893.0,行岡荘太郎,行岡 荘太郎,ユキオカ ソウタロウ,48.0,男,,現職,無所属,,1.0,,,0.0
29,橋川渉,登壇ただいま、議長から発言のお許しをいただきましたので、臨時市議会の閉会に当たりまして、一言ごあいさつを申し上げます。先ほどは、議第56号につきまして、原案どおりの議決を賜りまして、まことにありがとうございました。さて、議員各位におかれましては、来る9月30日をもちまして、現任期の満了を迎えられることになりますが、月日の過ぎるのは本当に早いものであると感じているところでございます。依然として厳しい社会情勢であり、先行きに不透明さが漂う経済環境ではございますが、一昨日の7日に東日本復興応援イベントとして行われました草津七夕宿場まつりでは、多くの方に御参加いただき、大いに盛り上がったところでありまして、私も市民の皆様方から多くの元気をいただいたように、こうした力は、草津のみならず、日本の未来を明るく元気にする原動力になると確信をしているところでございます。現在、さまざまな場面で市民との協働による取り組みを進めているところでありまして、一歩ずつ着実に前進しておりますことは、ひとえに議員の皆様のお力添えのたまものと、深く感謝しているところでございまして、今日までの議員各位の御指導、御教示を忘れることなく、一層、市政の発展に取り組んでまいる所存でございます。市議会議員選挙の告示まで、残すところ3週間余りでございます。この4年間の議員各位の御労苦に感謝申し上げ、今後も変わりませぬ御指導と御支援を賜りますようお願いを申し上げますとともに、引き続き立候補される方々におかれましては、晴れて当選の栄に浴されますことを御祈念申し上げます。結びに、まだまだ暑い日が続きます。どうぞ健康には十分御留意いただき、さらなる御活躍をいただきますようお願いを申し上げまして、お礼のあいさつとさせていただきます。どうもありがとうございました。,2011080925206,225206201108,,草津市,25206.0,17584.0,橋川渉,橋川渉,ハシカワ ワタル,59.0,男,,新人,無所属,,,,,1.0
30,行岡荘太郎,この際、私からも一言のごあいさつを申し上げたいと思います。平成23年8月草津市議会臨時会の閉会に当たりまして、一言ごあいさつを申し上げます。本臨時会は、議案2件について御審議いただき、付議されました案件について、すべて議了し、閉会の運びとなりました。私ども議員にとりましては、今任期中の最後の議会となり、大変感慨深い思いでございます。議員各位におかれましては、この4年間の議員活動を通じて、我がふるさと草津市の力強い歩みを肌でひしひしと感じておられることと存じますが、地域のことは、その地域の住民が責任を持って決め、活気に満ちた地域社会をつくっていこうとする新しい時代の潮流の中で、二元代表制の一翼を担う議会への期待、また、私たち議会人に課せられた責任は、非常に大きいものがございます。当市議会といたしましても、積極的に議会改革に取り組み、特に、予算・決算に関しましては、これまでの常任委員会での審査にかえまして、議案を集中的に審査するために特別委員会を設置するなど、より一層の活性化に向けて取り組んでまいりました。今後も、新しい時代にふさわしい議会の姿を模索し、さらに市民から信頼され、期待される議会への変革を遂げられるよう、議会力を高める努力を続けていかなければならないと考えております。こうした意味におきましても、来月に執行される市議会議員選挙に再度立候補される議員各位におかれましては、御奮闘をいただき、必ずや当選の栄に浴され、全員そろって12万4千市民のために汗を流し、だれもがこの草津市に愛着と誇りを感じられる、魅力あふれるまちづくりに取り組んでいただきたく思っております。最後になりましたが、議長として、この1年、奥村副議長を初め、皆様方の御協力をもちまして無事に議会運営に当たらせていただきましたことを、この場をおかりいたしまして厚く御礼を申し上げます。また、理事者を初め職員の皆様方におかれましては、今後とも御健勝で市政の運営に格別の御尽力を賜りますよう、心からお願い申し上げまして、まことに簡単ではございますが、お礼のごあいさつとさせていただきます。ありがとうございました。それでは、これをもちまして、平成23年8月草津市議会臨時会を閉会いたします。皆様、御苦労さまでした。閉会午前10時59分─────────────草津市議会会議規則第81条の規定により、下記に署名する。平成23年8月9日草津市議会議長行岡荘太郎署名議員久保秋雄署名議員村田進,2011080925206,225206201108,,草津市,25206.0,1893.0,行岡荘太郎,行岡 荘太郎,ユキオカ ソウタロウ,48.0,男,,現職,無所属,,1.0,,,0.0
